SECRETARIA,CÓDIGO MUNICIPIO, NOMBRE MUNICIPIO, CÓDIGO ESTABLECIMIENTO, NOMBRE ESTABLECIMIENTO, CÓDIGO SEDE, NOMBRE SEDE, ZONA, DIRECCIÓN, TELÉFONO, ESTADO SEDE, NIVELES, MODELOS, GRADOS,SECTOR
BOYACA,15600,RÁQUIRA,115600000014,I.E. SAN ANTONIO,115600000014,I.E. SAN ANTONIO - SEDE PRINCIPAL,URBANA,CL 3 4 89,7357275,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","ESPERE,EDUCACIÓN TRADICIONAL,TEJIENDO SABERES","3,6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15600,RÁQUIRA,115600000014,I.E. SAN ANTONIO,215600000043,ESC TORRES DE SAN PEDRO,RURAL,VDA TPRRES DE SAN PEDRO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15600,RÁQUIRA,115600000014,I.E. SAN ANTONIO,215600000116,ESC PUEBLO VIEJO,RURAL,VDA PUEBLO VIEJO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15621,RONDÓN,315621000218,I.E. TECNICA AGROPECUARIA SAN RAFAEL,115621000014,CENT EDUC EL PARAMO,URBANA,CASCO URBANO,7425699,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15621,RONDÓN,315621000218,I.E. TECNICA AGROPECUARIA SAN RAFAEL,215621000230,ESC JUNIN ALTO,RURAL,VDA JUNIN,7425699,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15632,SABOYÁ,415632000516,I.E. GARAVITO,415632000516,I.E. GARAVITO - SEDE PRINCIPAL,RURAL,CGTO DE GARAVITO,,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","6,7,8,9,10,11,23,24,25,26",OFICIAL
BOYACA,15632,SABOYÁ,415632000516,I.E. GARAVITO,215632000339,ESC LA LUCERA,RURAL,VDA LA LAJITA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15632,SABOYÁ,215632000681,I.E. JOSE MARIA CORDOBA,215632000681,I.E. JOSE MARIA CORDOBA - SEDE PRINCIPAL,RURAL,INSP VDA MERCHAN,7265350,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","6,7,8,9,10,11,21,22,23,24,25,26",OFICIAL
BOYACA,15632,SABOYÁ,215632000673,I.E. SAN MARCOS,215632000258,ESC CERRAJAL,RURAL,VDA MATA DE MORA,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","0,1,2,3,4,5,22,23,24",OFICIAL
BOYACA,15632,SABOYÁ,215632000665,I.E. SAN ISIDRO,215632000444,CEN VINCULO ORIENTAL,RURAL,VDA VINCULO,3104880180,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA","-1,0,1,2,3,4,5,23",OFICIAL
BOYACA,15632,SABOYÁ,215632000592,I.E. NORMAL SUPERIOR,215632000231,ESC LA ESPERANZA,RURAL,VDA PIRE,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"0,1,2,3,4,5",OFICIAL
BOYACA,15632,SABOYÁ,215632000592,I.E. NORMAL SUPERIOR,215632000592,I.E. NORMAL SUPERIOR - SEDE PRINCIPAL,RURAL,VDA RESGUARDO,7255146-7255135,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,TEJIENDO SABERES","0,1,2,3,4,5,6,7,8,9,10,11,12,13,21,22,23,24,25,26,41,42,43,44,45",OFICIAL
BOYACA,15638,SÁCHICA,315638000050,I.E. NUEVA GENERACION,215638000101,CENT SAN LORENZO,RURAL,VDA TINTAL,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",ESCUELA NUEVA,"-1,0,1,2,3,4,5",OFICIAL
BOYACA,15638,SÁCHICA,315638000050,I.E. NUEVA GENERACION,115638000018,CONC URB MIXTA,URBANA,CRA 5 NO 3-26,7342308,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5",OFICIAL
